Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.07698237147261881,0.19503400600745843,0.07698237147261881,0.06992099805998529
Random Forest,0.10932368121187747,0.19495088932052945,0.10932368121187747,0.11837009567114383
Naive Bayes,0.0968228433541122,0.18836675811923315,0.0968228433541122,0.09951972572147547
